Date,Close/Last_Apple,Volume_Apple,Open_Apple,High_Apple,Low_Apple,Daily Return_Apple,Close/Last_Microsoft,Volume_Microsoft,Open_Microsoft,High_Microsoft,Low_Microsoft,Daily Return_Microsoft,CORESTICKM159SFRBATL,Inflation Rate
2020-05-31,82.325,161643580.0,81.255,82.565,81.045,0.014711764869982602,191.36,44093070.0,188.941,192.4,186.985,0.017790704881835206,2.01414,-7.579555669352378
2020-06-30,91.2,140223280.0,90.02,91.5,90.0,0.008291873963515828,203.51,34310280.0,197.882,204.4,197.74,0.025549284418463936,1.993544,-1.022570427080538
2020-07-31,106.26,374295480.0,102.88,106.42,100.83,0.1046886370724609,205.01,51247970.0,204.4,205.1,199.01,0.005443845022069516,2.281283,14.433541471871214
2020-08-31,129.04,225702700.0,127.58,131.0,126.0,0.033891515102956404,225.53,28774160.0,227.0,228.7,224.31,-0.0147656284129134,2.213149,-2.9866526862296405
2020-09-30,115.81,142675200.0,113.79,117.26,113.62,0.015075817337189878,210.33,33829090.0,207.73,211.98,206.54,0.014812313036765445,1.980283,-10.521930516201127
2020-10-31,117.43,156042700.0,115.38,119.11500000000001,115.215,0.01808769853050418,212.2,33446920.0,210.915,213.37,208.6875,0.0047113649001139235,1.747303,-11.764985105664195
2020-11-30,119.05,169410200.0,116.97,120.97,116.81,0.021099579723818485,214.07,33064750.0,214.1,214.76,210.835,-0.005389583236537598,1.697582,-2.8455854536963643
2020-12-31,132.69,99116590.0,134.08,134.74,131.72,-0.00770266227938976,222.42,20942130.0,221.7,223.0,219.68,0.0033381450739804475,1.600671,-5.708766940271515
2021-01-31,129.17666666666668,105518993.33333333,129.93666666666667,131.0,128.19666666666666,0.0011201044909712188,226.87,28502576.666666668,225.43666666666667,228.36666666666667,223.91666666666666,0.007861257811522915,1.400569,-12.501132337625908
2021-02-28,125.66333333333334,111921396.66666667,125.79333333333334,127.26,124.67333333333333,0.009942871261332198,231.32,36063023.333333336,229.17333333333332,233.73333333333332,228.15333333333334,0.012384370549065382,1.405123,0.3251535625877766
2021-03-31,122.15,118323800.0,121.65,123.52,121.15,0.018765638031693177,235.77,43623470.0,232.91,239.1,232.39,0.01690748328660785,1.592366,13.325737319793362
2021-04-30,131.46,109839500.0,131.78,133.56,131.07,-0.015133353311357345,252.18,30945100.0,249.74,253.08,249.6,-0.0013068789354876431,2.209393,38.749068995444524
2021-05-31,134.21,86550445.0,133.975,135.485,133.47,-0.005256106715093356,261.53999999999996,26300780.0,260.21500000000003,262.2199,259.60215,-0.0015745890624380143,2.562825,15.996791879036465
